patient_id,condition,finetune_size,seed,ssim_mean,ssim_sd,n_eval_images
83,scratch,200,4,0.1869821918440236,0.05060027063630921,20
84,pretrained,5,0,0.35078461575600245,0.08916485417983358,20
84,pretrained,5,1,0.3748075519005475,0.07238911693230098,20
84,pretrained,5,2,0.3205224027715346,0.06911540441036468,20
84,pretrained,5,3,0.3414185212621514,0.06959286379887039,20
84,pretrained,5,4,0.35901344070065216,0.05726162146803935,20
84,pretrained,10,0,0.35686264902153375,0.0577830089047863,20
84,pretrained,10,1,0.38935530370846383,0.07395689447192079,20
84,pretrained,10,2,0.3286924951084094,0.07827946086089672,20
84,pretrained,10,3,0.36701485327582695,0.08044146414305435,20
84,pretrained,10,4,0.3495076866944724,0.08985796100178857,20
84,pretrained,20,0,0.3508720588552624,0.07913415625545381,20
84,pretrained,20,1,0.36067348688368395,0.06961509316642459,20
84,pretrained,20,2,0.36916078351882836,0.07733516827162829,20
84,pretrained,20,3,0.3573792389497454,0.07573919640653844,20
84,pretrained,20,4,0.36554355942241284,0.07483251476372761,20
84,pretrained,50,0,0.35909723293821044,0.06955125813612983,20
84,pretrained,50,1,0.3655289916250467,0.07141439232715835,20
84,pretrained,50,2,0.34746713692417464,0.07890480784543459,20
84,pretrained,50,3,0.35331674617988557,0.08179380361386816,20
84,pretrained,50,4,0.36730809387447094,0.07464537681231735,20
84,pretrained,100,0,0.3614475828641691,0.07174667669458812,20
84,pretrained,100,1,0.3624764617974868,0.07003004928508534,20
84,pretrained,100,2,0.34945588782786785,0.0731548823432124,20
84,pretrained,100,3,0.3474821945757144,0.07516828985454554,20
84,pretrained,100,4,0.3607493361446017,0.07505578325736742,20
84,pretrained,200,0,0.3536490190538565,0.07465050362010972,20
84,pretrained,200,1,0.3544877392814795,0.07917032195224091,20
84,pretrained,200,2,0.3668037637179444,0.07510835174638421,20
84,pretrained,200,3,0.3554221357930857,0.07526767916750424,20
84,pretrained,200,4,0.34236678549145333,0.07280128196566181,20
84,scratch,5,0,0.18820678434576413,0.08980986609734076,20
84,scratch,5,1,0.20027446906062876,0.06405772317057842,20
84,scratch,5,2,0.1425925509413209,0.05208136694654391,20
84,scratch,5,3,0.12957518537795187,0.06898260861301835,20
84,scratch,5,4,0.15205256843140189,0.06441967845408912,20
84,scratch,10,0,0.17393101478554868,0.07214233396752466,20
84,scratch,10,1,0.17116105170620716,0.06696830144943966,20
84,scratch,10,2,0.15430993996083123,0.05172004455607387,20
84,scratch,10,3,0.15983840469213154,0.05885550872268451,20
84,scratch,10,4,0.16404015573141456,0.09537566217079776,20
84,scratch,20,0,0.15845596297962503,0.06838995568349096,20
84,scratch,20,1,0.16373705880594205,0.06478154245238325,20
84,scratch,20,2,0.17138514686567977,0.06731165543211018,20
84,scratch,20,3,0.1557013245495142,0.06679782022257126,20
84,scratch,20,4,0.17763831007148906,0.06506857413435488,20
84,scratch,50,0,0.17666640048160456,0.060618948746636855,20
84,scratch,50,1,0.16137452811504682,0.056983245624051306,20
84,scratch,50,2,0.17203682320292318,0.06517738534952819,20
84,scratch,50,3,0.17113917652027383,0.07384527055391177,20
84,scratch,50,4,0.17035581385493687,0.05433867259382837,20
84,scratch,100,0,0.18237106167113293,0.0428960717952702,20
84,scratch,100,1,0.16512401658828937,0.05278648562311179,20
84,scratch,100,2,0.16823517410783406,0.05784040050076898,20
84,scratch,100,3,0.15103068020957736,0.05527258859676367,20
84,scratch,100,4,0.16035302961979242,0.04677057075857527,20
84,scratch,200,0,0.15758557545554308,0.05986544314964656,20
84,scratch,200,1,0.17201897511370762,0.05548074973123589,20
84,scratch,200,2,0.1671300788250492,0.05015057026479085,20
84,scratch,200,3,0.1770134057943392,0.06668911234455142,20
84,scratch,200,4,0.16295691590053415,0.05708649158791938,20
85,pretrained,5,0,0.29671719350927284,0.08162668503513537,20
85,pretrained,5,1,0.31346850761596384,0.054184015515857435,20
85,pretrained,5,2,0.3015022573407607,0.0909328307750428,20
85,pretrained,5,3,0.31111809880935487,0.08804773508561396,20
85,pretrained,5,4,0.3030876721021861,0.06679878227082338,20
85,pretrained,10,0,0.3271865695370576,0.07195484556927531,20
85,pretrained,10,1,0.3440675286446039,0.07532243796762088,20
85,pretrained,10,2,0.32055986314891516,0.08451544599495359,20
85,pretrained,10,3,0.33126019039161225,0.07144484350570637,20
85,pretrained,10,4,0.3005192864294065,0.055795877194459526,20
85,pretrained,20,0,0.30911830152235203,0.06474538728056135,20
85,pretrained,20,1,0.31379121446861474,0.0765207944685011,20
85,pretrained,20,2,0.3128285962470786,0.06931625444420954,20
85,pretrained,20,3,0.3164101285491668,0.06862285903594623,20
85,pretrained,20,4,0.31036180323311713,0.06657642375218174,20
85,pretrained,50,0,0.31652208070719967,0.06990118759022577,20
85,pretrained,50,1,0.31226917500062135,0.07390150188810778,20
85,pretrained,50,2,0.3115000855255906,0.07255502336279465,20
85,pretrained,50,3,0.3015389623744945,0.07394014326769544,20
85,pretrained,50,4,0.31274171497954606,0.06671470161848436,20
85,pretrained,100,0,0.30528347011720147,0.07636663021143021,20
85,pretrained,100,1,0.31936011025607625,0.0707541364645135,20
85,pretrained,100,2,0.3089219777695585,0.07141088659662764,20
85,pretrained,100,3,0.30737371491961324,0.07070673940464328,20
85,pretrained,100,4,0.31465814434075673,0.07399770584742443,20
85,pretrained,200,0,0.32559803126298953,0.07164007673988886,20
85,pretrained,200,1,0.31330850442795904,0.06864958600212928,20
85,pretrained,200,2,0.3126112778093836,0.06997824555195119,20
85,pretrained,200,3,0.3105542520553153,0.07287487820469765,20
85,pretrained,200,4,0.308695589661726,0.07141674142064992,20
85,scratch,5,0,0.16503743120605133,0.05370516399478003,20
85,scratch,5,1,0.15479864144749106,0.025435099346787768,20
85,scratch,5,2,0.175996370305265,0.06770923006556974,20
85,scratch,5,3,0.17117272074219989,0.058785766847483836,20
85,scratch,5,4,0.16648112829697,0.04671195458665817,20
85,scratch,10,0,0.18844600950042487,0.046683944588102017,20
85,scratch,10,1,0.17819377597861955,0.051949904950508774,20
85,scratch,10,2,0.16978552544454953,0.0445354641400852,20
85,scratch,10,3,0.16627402103922878,0.03974409149848135,20
85,scratch,10,4,0.16946626076222118,0.050515963361742314,20
85,scratch,20,0,0.16314012327826466,0.039785523710554146,20
85,scratch,20,1,0.1777589605941761,0.05209717984152717,20
85,scratch,20,2,0.16987295696081456,0.04570417713119601,20
85,scratch,20,3,0.16770125903169553,0.04283030412905145,20
85,scratch,20,4,0.1799679888450877,0.05963729838159711,20
85,scratch,50,0,0.17469860189886152,0.04420269333301039,20
85,scratch,50,1,0.16344891927635138,0.04435424933043237,20
85,scratch,50,2,0.17120318657287228,0.05520247838025122,20
85,scratch,50,3,0.17069230056857074,0.05391952299919002,20
85,scratch,50,4,0.16883139009559842,0.04852174075636023,20
85,scratch,100,0,0.16947301751521143,0.04674627750001335,20
85,scratch,100,1,0.17143919276149944,0.044647950511769105,20
85,scratch,100,2,0.16324632508549244,0.044259931799885154,20
85,scratch,100,3,0.1691094781733265,0.056130536088692694,20
85,scratch,100,4,0.16860105896711208,0.0482872456822198,20
85,scratch,200,0,0.17416713143329743,0.045993540519375785,20
85,scratch,200,1,0.1582659880567832,0.03809316090103441,20
85,scratch,200,2,0.17786086239733617,0.05198647712897847,20
85,scratch,200,3,0.1687051437858807,0.04424442819821063,20
85,scratch,200,4,0.16750376577125936,0.04757174655188325,20
86,pretrained,5,0,0.26269427476068796,0.05689456309618645,20
86,pretrained,5,1,0.2771748662662294,0.05588274165938893,20
86,pretrained,5,2,0.2684140508450727,0.06951543726653331,20
86,pretrained,5,3,0.29357620375591226,0.05356743359232219,20
86,pretrained,5,4,0.2916668504760355,0.05371726164517494,20
86,pretrained,10,0,0.2830515944669203,0.05133934460061721,20
86,pretrained,10,1,0.27148415758079236,0.045983774888211676,20
86,pretrained,10,2,0.25444436377346313,0.04321045580821514,20
86,pretrained,10,3,0.307322151118287,0.048075847008379524,20
86,pretrained,10,4,0.27132838210051874,0.04877471494982749,20
86,pretrained,20,0,0.2495622861580517,0.052106538709562784,20
86,pretrained,20,1,0.2576909061859588,0.0489435061104805,20
86,pretrained,20,2,0.2551168498728097,0.05442910560813612,20
86,pretrained,20,3,0.2751351619423241,0.05419590024906347,20
86,pretrained,20,4,0.2832964940018031,0.041823471792191,20
86,pretrained,50,0,0.27011724315728036,0.04610491388787856,20
86,pretrained,50,1,0.2478256281066396,0.04746119397943397,20
86,pretrained,50,2,0.26383775400901743,0.0499800509583759,20
86,pretrained,50,3,0.25977672781311395,0.04633248856457601,20
86,pretrained,50,4,0.25653989511804,0.04565551555952145,20
86,pretrained,100,0,0.2588287159438579,0.043178401342397484,20
86,pretrained,100,1,0.2641234857688569,0.04227009864013319,20
86,pretrained,100,2,0.2590786338273423,0.04996706633881732,20
86,pretrained,100,3,0.24180460507274587,0.048839977248496695,20
86,pretrained,100,4,0.26037189588514364,0.04849129969383055,20
86,pretrained,200,0,0.24721768208907796,0.050477960221234026,20
86,pretrained,200,1,0.257449780313442,0.0508153980699179,20
86,pretrained,200,2,0.2657208989787031,0.05060572811007616,20
86,pretrained,200,3,0.24692401079045148,0.05118920566154211,20
86,pretrained,200,4,0.255180783494488,0.04955385288891245,20
86,scratch,5,0,0.16736876524737693,0.051162629075305756,20
86,scratch,5,1,0.14662468521962418,0.04223817223830118,20
86,scratch,5,2,0.13196821535771416,0.043926317502540266,20
86,scratch,5,3,0.1567602795912487,0.040654482054542605,20
86,scratch,5,4,0.14617309477192147,0.04636162793506729,20
86,scratch,10,0,0.12837889336593117,0.041104998195122866,20
86,scratch,10,1,0.16198211222193784,0.04210764383549109,20
86,scratch,10,2,0.1307874464737236,0.0449432614617378,20
86,scratch,10,3,0.16054671948242671,0.03970172268127228,20
86,scratch,10,4,0.170425807358731,0.050188658346576334,20
86,scratch,20,0,0.1523768038541918,0.04609433448734226,20
86,scratch,20,1,0.13957608864757337,0.044255757544470635,20
86,scratch,20,2,0.13931039572226697,0.040530491263492154,20
86,scratch,20,3,0.1450694545183823,0.039735809080745296,20
86,scratch,20,4,0.15890110768901183,0.04006916269639119,20
86,scratch,50,0,0.1595222061596113,0.046140727739695096,20
86,scratch,50,1,0.14839391704268765,0.03626938513231937,20
86,scratch,50,2,0.1618380321902635,0.04561380986524001,20
86,scratch,50,3,0.15259924738798109,0.04098324582719208,20
86,scratch,50,4,0.14425614049640845,0.03761452497823679,20
86,scratch,100,0,0.1583667288016209,0.037399784138228045,20
86,scratch,100,1,0.16634442539288757,0.03915444024688887,20
86,scratch,100,2,0.15616011133756336,0.04598504913110359,20
86,scratch,100,3,0.1528267269367857,0.0358222031683196,20
86,scratch,100,4,0.14854498093773827,0.034549367234598255,20
86,scratch,200,0,0.15407781096835602,0.04167233767435876,20
86,scratch,200,1,0.1408345290589052,0.040400649096217156,20
86,scratch,200,2,0.14294903067774642,0.04369961474404407,20
86,scratch,200,3,0.1526848042521877,0.04249454982463993,20
86,scratch,200,4,0.1482855005422374,0.03789165715113201,20
87,pretrained,5,0,0.32642376043601196,0.07157102365877735,20
87,pretrained,5,1,0.32033753369640533,0.07349135448324191,20
87,pretrained,5,2,0.3052334989787503,0.0722609518035574,20
87,pretrained,5,3,0.32096073163314703,0.07607819383093516,20
87,pretrained,5,4,0.35357998823362996,0.055624302155340935,20
87,pretrained,10,0,0.3309171096235299,0.050306439403271196,20
87,pretrained,10,1,0.3194284538739126,0.06464766845879634,20
87,pretrained,10,2,0.33165636408749805,0.04573839881017591,20
87,pretrained,10,3,0.32627455697576213,0.060683589355370306,20
87,pretrained,10,4,0.3182581982797519,0.04651279979218018,20
87,pretrained,20,0,0.3358840335906269,0.05980404502453515,20
87,pretrained,20,1,0.3433982261618905,0.07027787708806625,20
87,pretrained,20,2,0.3227002445947294,0.06905398354565234,20
87,pretrained,20,3,0.31325781061225005,0.06263590899294212,20
87,pretrained,20,4,0.338470910428887,0.06311377477504575,20
87,pretrained,50,0,0.3385360819266868,0.06512637894107372,20
87,pretrained,50,1,0.3341477775248444,0.0677302347154449,20
87,pretrained,50,2,0.33968501011328467,0.06135402056501274,20
87,pretrained,50,3,0.32736849949404634,0.071469845464718,20
87,pretrained,50,4,0.3342172612413622,0.06434729104559155,20
87,pretrained,100,0,0.32950824104213594,0.0708741672621465,20
87,pretrained,100,1,0.3287197445713063,0.06920278542113086,20
87,pretrained,100,2,0.33039864342766156,0.06280708749672193,20
87,pretrained,100,3,0.33523089986076593,0.05747427841740171,20
87,pretrained,100,4,0.3185480044637732,0.07142572082184923,20
87,pretrained,200,0,0.3272778876007506,0.06727936228224775,20
87,pretrained,200,1,0.31641910572523435,0.06453919817932995,20
87,pretrained,200,2,0.3306159812690773,0.06783259199611094,20
87,pretrained,200,3,0.3261063104060562,0.05615520757774142,20
87,pretrained,200,4,0.33092482221915437,0.060564409582407816,20
87,scratch,5,0,0.1874582423786239,0.06381656108773925,20
87,scratch,5,1,0.16970078501435848,0.05938761690896067,20
87,scratch,5,2,0.15840815622937127,0.04828092463582561,20
87,scratch,5,3,0.17460758475233476,0.05444265418490932,20
87,scratch,5,4,0.16234522690167053,0.04375217958086155,20
