patient_id,finetune_size,ssim_mean_pretrained,ssim_mean_scratch,difference
87,100,0.3284811066731286,0.16514261084720755,0.16333849582592103
87,200,0.32626882144405456,0.16380539490221593,0.16246342654183862
88,5,0.3226482285280067,0.1770794351883807,0.14556879333962597
88,10,0.33561086188902306,0.1818544576235462,0.15375640426547685
88,20,0.3413777759348512,0.17745279091762473,0.16392498501722647
88,50,0.3367587317491325,0.17874279582978264,0.15801593591934987
88,100,0.33814537903615494,0.17716524962478278,0.16098012941137216
88,200,0.3414726580748354,0.18364585045641385,0.15782680761842155
89,5,0.12044630684690463,0.12154806704446715,-0.0011017601975625152
89,10,0.12064934240512537,0.10076901009680324,0.019880332308322132
89,20,0.11781322874987221,0.09988678313741081,0.0179264456124614
89,50,0.1187916531900075,0.07867784104532963,0.04011381214467788
89,100,0.12009240053437784,0.09414448339307883,0.025947917141299
89,200,0.1300584744121252,0.08750517617055446,0.04255329824157074
90,5,0.2024143489928206,0.12446034678589162,0.07795400220692898
90,10,0.21426370656520577,0.13195105949093625,0.08231264707426952
90,20,0.2135371089038836,0.13535018651835834,0.07818692238552527
90,50,0.21529321870705403,0.13477373852230334,0.08051948018475069
90,100,0.2155270040921105,0.1324856936062006,0.0830413104859099
90,200,0.2142216767224915,0.13246266704080673,0.08175900968168479
91,5,0.15893852118356538,0.10919374549180887,0.04974477569175652
91,10,0.1711740365478976,0.11598162686555971,0.05519240968233788
91,20,0.18161530172178605,0.1135497747833549,0.06806552693843115
91,50,0.19268385740015528,0.11688749265122796,0.07579636474892733
91,100,0.19153209078174122,0.11731883524518003,0.07421325553656119
91,200,0.1901442217325253,0.1160821365642778,0.0740620851682475
92,5,0.34977714203172283,0.17235993547610007,0.17741720655562276
92,10,0.36014341038761094,0.1763379554790517,0.18380545490855923
92,20,0.3741772269415092,0.17313682448195325,0.20104040245955593
92,50,0.363057814365085,0.17710988358007312,0.18594793078501187
92,100,0.3684166806214091,0.16964408461077238,0.1987725960106367
92,200,0.3700208656427167,0.1732704955399777,0.196750370102739
93,5,0.3425832311674932,0.19356345877434672,0.14901977239314645
93,10,0.3419453530154887,0.16419345815458858,0.1777518948609001
93,20,0.33769643526695914,0.16759550509201496,0.17010093017494418
93,50,0.3373736609998349,0.1726052352904508,0.1647684257093841
93,100,0.3385729182840493,0.1792993285634515,0.1592735897205978
93,200,0.33707868406116226,0.1772205554865652,0.15985812857459705
94,5,0.2776722255844059,0.20303703053113611,0.07463519505326979
94,10,0.3139832720695158,0.2154349372843992,0.09854833478511663
94,20,0.2849238042784178,0.2200696862532004,0.0648541180252174
94,50,0.2707446884246264,0.21245624766300045,0.058288440761625954
94,100,0.28464301918412477,0.21952448271892816,0.06511853646519661
94,200,0.2780786967980393,0.2171715829997904,0.060907113798248924
95,5,0.18740139938751108,0.13348009526733415,0.05392130412017693
95,10,0.19302100307879463,0.13238866125640036,0.06063234182239427
95,20,0.19399841738063514,0.13215612221548723,0.061842295165147915
95,50,0.19478102903673805,0.12889419638857552,0.06588683264816253
95,100,0.19393827033848193,0.13085304918388485,0.06308522115459708
95,200,0.1931076507704224,0.12724295354317067,0.06586469722725175
96,5,0.19974487066207133,0.11902845381790925,0.08071641684416209
96,10,0.19914708753151306,0.11766273783981732,0.08148434969169574
96,20,0.19942226165564908,0.12620643766802264,0.07321582398762644
96,50,0.2087966210880992,0.12315658294067558,0.08564003814742363
96,100,0.20292579735338911,0.11880602253467085,0.08411977481871827
96,200,0.20258620961932908,0.12521915244469312,0.07736705717463596
97,5,0.2170821039628827,0.13646515237511486,0.08061695158776783
97,10,0.22421240694179553,0.14310166093441415,0.08111074600738138
97,20,0.22946508460855775,0.13944471079514828,0.09002037381340947
97,50,0.22985851936251062,0.14138576376872708,0.08847275559378354
97,100,0.23167017612280438,0.14188584612379523,0.08978432999900915
97,200,0.2305896171991367,0.14119648081898242,0.08939313638015428
98,5,0.27741864239058545,0.1469528071229358,0.13046583526764965
98,10,0.29245664522966874,0.15194522545001124,0.1405114197796575
98,20,0.2891503011250015,0.1528148449646591,0.1363354561603424
98,50,0.2902220727575565,0.15238587634715092,0.1378361964104056
98,100,0.29057253326926047,0.15984636043110179,0.13072617283815868
98,200,0.29410458927016,0.15509419887042503,0.13901039039973495
99,5,0.29450601589643916,0.1757089988252447,0.11879701707119444
99,10,0.3227921377639486,0.1754887503350656,0.147303387428883
99,20,0.32042907161013795,0.16721451695176975,0.1532145546583682
99,50,0.30675864397698993,0.1684437786253241,0.13831486535166584
99,100,0.3053065872114219,0.17059136809995307,0.13471521911146883
99,200,0.30535596658744907,0.1671352994683614,0.13822066711908768
